title,url,date,snippet
EndSARS  Protest: APC commiserates with Adamawa Govt,https://www.vanguardngr.com/2020/10/endsars-protest-apc-commiserates-with-adamawa-govt/,31-Oct-20,
"Deploy your capacity to positive endeavours, minister counsels #EndSARS organisers",https://www.vanguardngr.com/2020/10/deploy-your-capacity-to-positive-endeavours-minister-counsels-endsars-organisers/,31-Oct-20,
Diaspora Nigerians write President Buhari over EndSARS protest,https://www.vanguardngr.com/2020/10/diaspora-nigerians-write-president-buhari-over-endsars-protest/,31-Oct-20,
EndSARS protests: Adamawa committee recovers majority of looted items,https://www.vanguardngr.com/2020/10/endsars-protests-adamawa-committee-recovers-majority-of-looted-items/,31-Oct-20,"The committee set up by the Adamawa government to recover property looted by hoodlums during the EndSARS protest has recovered majority of the items, its Chairman, Alhaji Ahmad Bashir, has said. Bashir, who is the Secretary to the State Government (SSG), disclosed this on Saturday in Yola while briefing newsmen on the success already recorded. […]"
#EndSARS: Lagos council unveils N10m relief fund for victims of violence,https://www.vanguardngr.com/2020/10/endsars-lagos-council-unveils-n10m-relief-fund-for-victims-of-violence/,31-Oct-20,
#EndSARS protest: How Oyetola restored lost order in Osun,https://www.vanguardngr.com/2020/10/endsars-protest-how-oyetola-restored-lost-order-in-osun/,31-Oct-20,
"EndSARS Protest: Ondo Senator promises to rebuild Police Area Command, others",https://www.vanguardngr.com/2020/10/endsars-protest-ondo-senator-promises-to-rebuild-police-area-command-others/,31-Oct-20,
ENDSARS Protests: Couple narrates to Panel how they lost two pregnancies  after 22 days  SARS torture,https://www.vanguardngr.com/2020/10/endsars-protests-couple-narrates-to-panel-how-they-lost-two-pregnancies-after-22-days-sars-torture/,31-Oct-20,
"Could tough govt action against #EndSARS protesters, be govt terrorism against citizens?",https://www.vanguardngr.com/2020/10/could-tough-govt-action-against-endsars-protesters-be-govt-terrorism-against-citizens/,31-Oct-20,
"#ENDSARS Protest: We’ve footage of Oct 20 Lekki shooting, LCC tells Judicial Panel",https://www.vanguardngr.com/2020/10/endsars-protest-weve-footage-of-oct-20-lekki-shooting-lcc-tells-judicial-panel/,31-Oct-20,
"EndSARS crisis: Navy arrests 41 suspected looters, recovers looted items worth over N100m",https://www.vanguardngr.com/2020/10/endsars-crisis-navy-arrests-41-suspected-looters-recovers-looted-items-worth-over-n100m/,31-Oct-20,
[Newspapers Review] #EndSARS: How ‘Troops’ moved to Lagos Tollgate (VIDEO),https://www.vanguardngr.com/2020/10/newspapers-review-endsars-how-troops-moved-to-lagos-tollgate-video/,31-Oct-20,
"#EndSARS: Fears, anxiety grip Edo residents",https://www.vanguardngr.com/2020/10/endsars-fears-anxiety-grip-edo-residents/,31-Oct-20,
#EndSARS protest: Time for introspection,https://www.vanguardngr.com/2020/10/endsars-protest-time-for-introspection/,31-Oct-20,
#EndSARS carnage: We can’t walk freely again — Police,https://www.vanguardngr.com/2020/10/endsars-carnage-we-cant-walk-freely-again-police/,31-Oct-20,No one had envisaged that the  #EndSARS protest by Nigerian youths against police brutality which started peacefully about three weeks ago would turn out a nightmare for the entire country with the level of destruction that ended it after it had been hijacked by hoodlums.
